ID,City,State,State Abbr,Population,School Districts,Elementary Schools,Elementary Enrollment,Median HH Income,College %,STEM %,COL Index,Metro Income,National Brand Count (Weighted),Local Provider Estimate,Demand Adjusted Market,CSI Score,Saturation Category,Brand Detail,Confidence,Last Updated
"46","Fresno city","California","CA","550105","28","112","49280","63001","","12.4","104.89","77196","24","148","47764.45","0.0035976546","competitive","Code Ninjas(2)|Bricks 4 Kidz(1)|Camp Invention(1)|Mad Science(1)|Primrose Schools(3)|Goddard School(2)|KinderCare(8)|i9 Sports(1)","medium","2026-05-21T08:42:03.000Z"
"47","Sacramento city","California","CA","535798","27","122","53680","78954","","12.4","109.9","77196","24","161","65203.855","0.0028378689","moderate","Code Ninjas(2)|Bricks 4 Kidz(1)|Camp Invention(1)|Mad Science(1)|Primrose Schools(3)|Goddard School(2)|KinderCare(8)|i9 Sports(1)","medium","2026-05-21T08:42:03.000Z"
"316","Atlanta city","Georgia","GA","520070","19","80","35200","77655","","13.4","98.61","57396","24","106","42053.168","0.003081813","moderate","Code Ninjas(2)|Bricks 4 Kidz(1)|Camp Invention(1)|Mad Science(1)|Primrose Schools(3)|Goddard School(2)|KinderCare(8)|i9 Sports(1)","medium","2026-05-21T08:42:03.000Z"
"14","Mesa city","Arizona","AZ","517151","35","85","37400","73766","","13.1","99.99","59060","24","112","42443.82","0.0032089476","moderate","Code Ninjas(2)|Bricks 4 Kidz(1)|Camp Invention(1)|Mad Science(1)|Primrose Schools(3)|Goddard School(2)|KinderCare(8)|i9 Sports(1)","medium","2026-05-21T08:42:03.000Z"
"504","Kansas City city","Missouri","MO","516032","24","92","40480","65256","","14.7","91.98","58525","24","121","40639.43","0.0035787905","competitive","Code Ninjas(2)|Bricks 4 Kidz(1)|Camp Invention(1)|Mad Science(1)|Primrose Schools(3)|Goddard School(2)|KinderCare(8)|i9 Sports(1)","medium","2026-05-21T08:42:03.000Z"
"568","Raleigh city","North Carolina","NC","499825","15","62","27280","78631","","14.9","98.32","59092","20","82","33000.824","0.0030859835","moderate","Code Ninjas(1)|Bricks 4 Kidz(1)|Camp Invention(1)|Mad Science(1)|Primrose Schools(3)|Goddard School(1)|KinderCare(7)|i9 Sports(1)","medium","2026-05-21T08:42:03.000Z"
"221","Colorado Springs city","Colorado","CO","493554","18","104","45760","79026","","12","96.84","76685","20","137","55634.305","0.0028270327","moderate","Code Ninjas(1)|Bricks 4 Kidz(1)|Camp Invention(1)|Mad Science(1)|Primrose Schools(3)|Goddard School(1)|KinderCare(7)|i9 Sports(1)","medium","2026-05-21T08:42:03.000Z"
"521","Omaha city","Nebraska","NE","489265","11","111","48840","70202","","15.8","92.01","66365","20","147","52748.703","0.0031568548","moderate","Code Ninjas(1)|Bricks 4 Kidz(1)|Camp Invention(1)|Mad Science(1)|Primrose Schools(3)|Goddard School(1)|KinderCare(7)|i9 Sports(1)","medium","2026-05-21T08:42:03.000Z"
"254","Miami city","Florida","FL","487014","2","165","72600","54858","","10.9","102.28","65429","20","218","61272.168","0.0038810445","competitive","Code Ninjas(1)|Bricks 4 Kidz(1)|Camp Invention(1)|Mad Science(1)|Primrose Schools(3)|Goddard School(1)|KinderCare(7)|i9 Sports(1)","medium","2026-05-21T08:42:03.000Z"
"766","Virginia Beach city","Virginia","VA","454808","1","55","24200","87544","","11.1","97.91","69562","20","73","32593.305","0.0028410743","moderate","Code Ninjas(1)|Bricks 4 Kidz(1)|Camp Invention(1)|Mad Science(1)|Primrose Schools(3)|Goddard School(1)|KinderCare(7)|i9 Sports(1)","medium","2026-05-21T08:42:03.000Z"
"48","Long Beach city","California","CA","450901","8","46","20240","78995","","12.4","113.31","77196","20","61","24597.828","0.0032815905","moderate","Code Ninjas(1)|Bricks 4 Kidz(1)|Camp Invention(1)|Mad Science(1)|Primrose Schools(3)|Goddard School(1)|KinderCare(7)|i9 Sports(1)","medium","2026-05-21T08:42:03.000Z"
"49","Oakland city","California","CA","443554","39","68","29920","94389","","12.4","118","77196","17","90","43447.984","0.0024571912","moderate","Code Ninjas(1)|Camp Invention(1)|Mad Science(1)|Primrose Schools(2)|Goddard School(1)|KinderCare(7)|i9 Sports(1)","medium","2026-05-21T08:42:03.000Z"
"482","Minneapolis city","Minnesota","MN","428579","31","72","31680","76332","","15.6","102.64","69539","16","95","37203.043","0.0029847021","moderate","Code Ninjas(1)|Camp Invention(1)|Mad Science(1)|Primrose Schools(2)|Goddard School(1)|KinderCare(6)|i9 Sports(1)","medium","2026-05-21T08:42:03.000Z"
"50","Bakersfield city","California","CA","417468","18","92","40480","73827","","12.4","104.46","77196","16","121","45977.184","0.0029893087","moderate","Code Ninjas(1)|Camp Invention(1)|Mad Science(1)|Primrose Schools(2)|Goddard School(1)|KinderCare(6)|i9 Sports(1)","medium","2026-05-21T08:42:03.000Z"
"610","Tulsa city","Oklahoma","OK","415154","13","67","29480","56648","","14.5","90.56","57916","16","88","25692.047","0.004065071","competitive","Code Ninjas(1)|Camp Invention(1)|Mad Science(1)|Primrose Schools(2)|Goddard School(1)|KinderCare(6)|i9 Sports(1)","medium","2026-05-21T08:42:03.000Z"
"255","Tampa city","Florida","FL","414547","1","98","43120","66802","","10.9","102.28","65429","16","129","44315.418","0.0032801225","moderate","Code Ninjas(1)|Camp Invention(1)|Mad Science(1)|Primrose Schools(2)|Goddard School(1)|KinderCare(6)|i9 Sports(1)","medium","2026-05-21T08:42:03.000Z"
"678","Arlington city","Texas","TX","403672","4","63","27720","71736","","14.5","103.41","63767","16","83","30592.645","0.003241302","moderate","Code Ninjas(1)|Camp Invention(1)|Mad Science(1)|Primrose Schools(2)|Goddard School(1)|KinderCare(6)|i9 Sports(1)","medium","2026-05-21T08:42:03.000Z"
"222","Aurora city","Colorado","CO","403130","2","66","29040","78685","","12","107.33","76685","16","87","35154.035","0.0029333758","moderate","Code Ninjas(1)|Camp Invention(1)|Mad Science(1)|Primrose Schools(2)|Goddard School(1)|KinderCare(6)|i9 Sports(1)","medium","2026-05-21T08:42:03.000Z"
"407","Wichita city","Kansas","KS","400991","1","66","29040","60712","","17.2","88.78","61875","16","87","27124.254","0.0038017635","competitive","Code Ninjas(1)|Camp Invention(1)|Mad Science(1)|Primrose Schools(2)|Goddard School(1)|KinderCare(6)|i9 Sports(1)","medium","2026-05-21T08:42:03.000Z"
"593","Cleveland city","Ohio","OH","365379","55","96","42240","37271","","16.6","92.99","58236","13","127","24220.416","0.005768687","saturated","Code Ninjas(1)|Camp Invention(1)|Primrose Schools(2)|Goddard School(1)|KinderCare(5)|i9 Sports(1)","medium","2026-05-21T08:42:03.000Z"
"420","New Orleans city","Louisiana","LA","362701","71","42","18480","51116","","15.5","93.74","55384","13","55","14532.672","0.0047093886","competitive","Code Ninjas(1)|Camp Invention(1)|Primrose Schools(2)|Goddard School(1)|KinderCare(5)|i9 Sports(1)","medium","2026-05-21T08:42:03.000Z"
"526","Henderson city","Nevada","NV","350039","","34","14960","85311","","12.4","96.48","62726","13","45","19634.654","0.0029478492","moderate","Code Ninjas(1)|Camp Invention(1)|Primrose Schools(2)|Goddard School(1)|KinderCare(5)|i9 Sports(1)","medium","2026-05-21T08:42:03.000Z"
"336","Urban Honolulu CDP","Hawaii","HI","344967","1","95","41800","82772","","8.1","113.09","63184","13","125","53228.76","0.002600098","moderate","Code Ninjas(1)|Camp Invention(1)|Primrose Schools(2)|Goddard School(1)|KinderCare(5)|i9 Sports(1)","medium","2026-05-21T08:42:03.000Z"
"51","Anaheim city","California","CA","344561","10","49","21560","88538","","12.4","113.31","77196","13","65","29367.373","0.0026451123","moderate","Code Ninjas(1)|Camp Invention(1)|Primrose Schools(2)|Goddard School(1)|KinderCare(5)|i9 Sports(1)","medium","2026-05-21T08:42:03.000Z"
"256","Orlando city","Florida","FL","334854","3","116","51040","66292","","10.9","100.52","65429","13","153","52054.52","0.0031912695","moderate","Code Ninjas(1)|Camp Invention(1)|Primrose Schools(2)|Goddard School(1)|KinderCare(5)|i9 Sports(1)","medium","2026-05-21T08:42:03.000Z"
"417","Lexington-Fayette urban county","Kentucky","KY","329437","1","39","17160","66087","","17.7","91.26","52629","11","51","17446.969","0.003581138","competitive","Code Ninjas(1)|Primrose Schools(2)|Goddard School(1)|KinderCare(5)|i9 Sports(1)","medium","2026-05-21T08:42:03.000Z"
"52","Stockton city","California","CA","324975","27","82","36080","71612","","12.4","108.53","77196","11","108","39750.168","0.0029997358","moderate","Code Ninjas(1)|Primrose Schools(2)|Goddard School(1)|KinderCare(5)|i9 Sports(1)","medium","2026-05-21T08:42:03.000Z"
"53","Riverside city","California","CA","323757","6","43","18920","83448","","12.4","106.7","77196","11","57","24289.787","0.0027896499","moderate","Code Ninjas(1)|Primrose Schools(2)|Goddard School(1)|KinderCare(5)|i9 Sports(1)","medium","2026-05-21T08:42:03.000Z"
"54","Irvine city","California","CA","318683","5","34","14960","122948","","12.4","112.59","77196","11","45","28296.955","0.0019747708","high_opportunity","Code Ninjas(1)|Primrose Schools(2)|Goddard School(1)|KinderCare(5)|i9 Sports(1)","medium","2026-05-21T08:42:03.000Z"
"679","Corpus Christi city","Texas","TX","317317","10","47","20680","64449","","14.5","93.33","63767","11","62","20504.697","0.0035621107","competitive","Code Ninjas(1)|Primrose Schools(2)|Goddard School(1)|KinderCare(5)|i9 Sports(1)","medium","2026-05-21T08:42:03.000Z"
"533","Newark city","New Jersey","NJ","317303","18","49","21560","46460","","9.7","108.76","77443","11","65","15410.425","0.0049109613","competitive","Code Ninjas(1)|Primrose Schools(2)|Goddard School(1)|KinderCare(5)|i9 Sports(1)","medium","2026-05-21T08:42:03.000Z"
"55","Santa Ana city","California","CA","316184","14","51","22440","84210","","12.4","112.59","77196","11","67","29071.883","0.002694012","moderate","Code Ninjas(1)|Primrose Schools(2)|Goddard School(1)|KinderCare(5)|i9 Sports(1)","medium","2026-05-21T08:42:03.000Z"
"594","Cincinnati city","Ohio","OH","314915","43","102","44880","49191","","16.6","93.59","58236","11","135","33964.492","0.0042880075","competitive","Code Ninjas(1)|Primrose Schools(2)|Goddard School(1)|KinderCare(5)|i9 Sports(1)","medium","2026-05-21T08:42:03.000Z"
"632","Pittsburgh city","Pennsylvania","PA","307668","32","87","38280","60187","","13.9","93.73","65078","11","115","35445.51","0.0035502377","competitive","Code Ninjas(1)|Primrose Schools(2)|Goddard School(1)|KinderCare(5)|i9 Sports(1)","medium","2026-05-21T08:42:03.000Z"
"483","St. Paul city","Minnesota","MN","307465","1","52","22880","69919","","15.6","97.46","69539","11","69","24611.488","0.0032358873","moderate","Code Ninjas(1)|Primrose Schools(2)|Goddard School(1)|KinderCare(5)|i9 Sports(1)","medium","2026-05-21T08:42:03.000Z"
"569","Greensboro city","North Carolina","NC","307381","9","46","20240","55051","","14.9","92.45","59092","11","61","17142.035","0.0041838675","competitive","Code Ninjas(1)|Primrose Schools(2)|Goddard School(1)|KinderCare(5)|i9 Sports(1)","medium","2026-05-21T08:42:03.000Z"
"534","Jersey City city","New Jersey","NJ","302824","12","33","14520","91151","","9.7","112.99","77443","11","44","20361.73","0.0026795364","moderate","Code Ninjas(1)|Primrose Schools(2)|Goddard School(1)|KinderCare(5)|i9 Sports(1)","medium","2026-05-21T08:42:03.000Z"
"570","Durham city","North Carolina","NC","301870","20","39","17160","74710","","14.9","97.08","59092","11","51","19723.44","0.0031678043","moderate","Code Ninjas(1)|Primrose Schools(2)|Goddard School(1)|KinderCare(5)|i9 Sports(1)","medium","2026-05-21T08:42:03.000Z"
"522","Lincoln city","Nebraska","NE","300619","7","40","17600","67846","","15.8","91.98","66365","11","53","18370.61","0.0034729387","moderate","Code Ninjas(1)|Primrose Schools(2)|Goddard School(1)|KinderCare(5)|i9 Sports(1)","medium","2026-05-21T08:42:03.000Z"
"527","North Las Vegas city","Nevada","NV","294034","","4","1760","71774","","12.4","96.48","62726","10","5","1943.4191","0.007862432","saturated","Code Ninjas(1)|Primrose Schools(2)|Goddard School(1)|KinderCare(4)|i9 Sports(1)","medium","2026-05-21T08:42:03.000Z"
"680","Plano city","Texas","TX","293286","2","41","18040","105679","","14.5","97.41","63767","10","54","29329.986","0.0021861584","moderate","Code Ninjas(1)|Primrose Schools(2)|Goddard School(1)|KinderCare(4)|i9 Sports(1)","medium","2026-05-21T08:42:03.000Z"
"11","Anchorage municipality","Alaska","AK","289600","3","50","22000","95731","","12.7","103.16","69160","10","66","32401.262","0.0023455876","moderate","Code Ninjas(1)|Primrose Schools(2)|Goddard School(1)|KinderCare(4)|i9 Sports(1)","medium","2026-05-21T08:42:03.000Z"
"15","Gilbert town","Arizona","AZ","288790","12","44","19360","115179","","13.1","99.99","59060","10","58","34305.62","0.0019845143","high_opportunity","Code Ninjas(1)|Primrose Schools(2)|Goddard School(1)|KinderCare(4)|i9 Sports(1)","medium","2026-05-21T08:42:03.000Z"
